ym,TOPIX,KYTB,TKYD,KNSD
17-Nov,1792.08,5720,450,1484
17-Dec,1817.56,5870,446,1380
18-Jan,1836.71,6110,442,1353.5
18-Feb,1768.24,5970,412,1305
18-Mar,1716.3,5940,410,1367
18-Apr,1777.23,6580,521,1530
18-May,1747.45,5700,517,1566
18-Jun,1730.89,5130,516,1616
18-Jul,1753.29,5410,534,1588
18-Aug,1735.35,5610,514,1592.5
18-Sep,1817.25,5930,558,1713
18-Oct,1646.12,5090,578,1730.5
18-Nov,1667.45,5460,689,1704
18-Dec,1494.09,4545,653,1650
19-Jan,1567.49,4625,669,1654
19-Feb,1607.66,4985,694,1665.5
19-Mar,1591.64,4630,700,1632
19-Apr,1617.93,4800,628,1345.5
19-May,1512.28,4250,558,1265.5
19-Jun,1551.14,4165,562,1234.5
19-Jul,1565.14,4235,525,1346
19-Aug,1511.86,3815,506,1292.5
19-Sep,1587.8,4225,529,1208.5
19-Oct,1667.01,4340,502,1264.5
19-Nov,1699.36,4515,480,1248
19-Dec,1721.36,4700,467,1264.5
20-Jan,1684.44,4450,435,1228
20-Feb,1510.87,3675,410,1164.5
20-Mar,1435.54,3440,377,1203.5
20-Apr,1464.03,3710,363,1135
20-May,1563.67,3870,363,1073.5
20-Jun,1558.77,3820,331,1045
20-Jul,1496.06,3865,280,1001.5
20-Aug,1618.18,4520,312,1044
20-Sep,1625.49,5070,289,1020
20-Oct,1610.93,4705,269,950.9
